account_id,plan,usage_90d,usage_30d,usage_delta_pct,critical_tickets_30d,nps,on_time_payment_ratio,late_payments_6m,arr_usd,churned_60d,expansion_prob_proxy
ACC-0001,pro,1605.15,1614.02,0.0055,0,12.2,0.92,1,41501.75,0,0.5111
ACC-0002,pro,1475.73,1404.32,-0.0484,0,64.5,1.0,2,26791.24,1,0.7211
ACC-0003,enterprise,1089.32,1171.17,0.0751,1,16.1,0.782,0,1587.67,0,0.463
ACC-0004,pro,1472.72,1468.53,-0.0028,2,10.1,0.834,0,22278.81,0,0.4553
ACC-0005,basic,1004.22,683.08,-0.3198,2,74.3,0.922,2,26916.09,0,0.6546
ACC-0006,enterprise,1070.98,773.54,-0.2777,3,75.2,1.0,1,6831.0,0,0.5984
ACC-0007,pro,617.29,621.28,0.0065,3,50.5,0.936,0,18597.93,1,0.6454
ACC-0008,pro,1138.95,1396.73,0.2263,1,21.3,1.0,2,2859.46,1,0.6171
ACC-0009,basic,1021.14,523.72,-0.4871,1,27.8,1.0,2,33109.38,1,0.434
ACC-0010,pro,544.07,585.45,0.0761,0,10.9,0.944,2,26489.33,1,0.5235
ACC-0011,basic,982.08,1239.11,0.2617,1,5.2,0.781,2,1500.0,1,0.5246
ACC-0012,enterprise,972.09,939.37,-0.0337,1,3.7,1.0,0,29271.97,0,0.3753
ACC-0013,pro,1629.15,1826.35,0.121,1,16.5,0.72,2,23152.37,0,0.5291
ACC-0014,enterprise,1312.97,1109.89,-0.1547,2,4.0,1.0,0,31746.21,0,0.3102
ACC-0015,pro,1004.01,977.64,-0.0263,2,-11.9,0.924,1,18127.01,1,0.3354
ACC-0016,basic,1087.08,699.42,-0.3566,1,41.6,0.582,0,11977.81,0,0.5088
ACC-0017,pro,1015.47,491.74,-0.5158,0,42.0,0.859,4,12437.33,0,0.5005
ACC-0018,basic,928.98,1121.66,0.2074,0,86.0,0.978,1,15927.45,0,0.8443
ACC-0019,enterprise,621.15,486.55,-0.2167,2,14.9,0.872,0,24282.38,0,0.3319
ACC-0020,pro,947.13,852.21,-0.1002,0,43.9,0.986,3,26219.38,0,0.6071
ACC-0021,pro,738.87,513.5,-0.305,1,44.4,0.798,3,21139.2,1,0.5202
ACC-0022,basic,562.39,387.94,-0.3102,3,27.4,0.743,1,17650.21,1,0.4018
ACC-0023,enterprise,1178.93,1133.84,-0.0382,1,57.3,0.891,3,18728.95,0,0.5956
ACC-0024,enterprise,1136.94,954.46,-0.1605,2,58.3,0.904,0,61615.87,0,0.5642
ACC-0025,pro,374.65,405.81,0.0832,1,44.8,0.858,0,12439.12,0,0.6794
ACC-0026,basic,957.06,1052.34,0.0996,0,27.3,1.0,3,15630.42,1,0.5978
ACC-0027,pro,1348.5,1443.68,0.0706,0,24.3,0.798,1,73407.81,1,0.5875
ACC-0028,basic,1370.73,1442.68,0.0525,2,-6.0,0.938,1,30315.2,0,0.3842
ACC-0029,basic,1359.04,1830.78,0.3471,0,10.8,0.908,1,3300.29,0,0.6285
ACC-0030,pro,1013.62,775.55,-0.2349,0,16.3,0.713,1,36640.31,0,0.427
ACC-0031,pro,704.23,695.72,-0.0121,1,1.3,0.742,0,10349.42,0,0.423
ACC-0032,enterprise,620.71,775.38,0.2492,1,48.2,0.901,0,37635.92,0,0.6802
ACC-0033,basic,1120.61,1432.36,0.2782,1,70.9,1.0,3,20835.57,0,0.8082
ACC-0034,basic,1132.75,778.44,-0.3128,2,7.8,0.97,1,17403.06,1,0.3446
